Ano da propositura;Ind. Motivo;Ind. Endereço;Ind. Bairro;Nome;Partido
2008;LIMPEZA, RETIRADA DE ENTULHO E FISCALIZAÇÃO OSTENSIVA PARA COIBIR A PRÁTICA DE DESPEJO DE LIXO.;ESQ DA RUA DR INACIO ARRUDA COM RUA LEANDRO DE CA;VILA MONUMENTO;DALTON SILVANO DO AMARAL;DEMOCRATAS
2008;CORTE DE MATO, LIMPEZA E DESRATIZAÇÃO DE TERRENOBALDIO.;RUA ARTUR SABOIA, 367;PARAISO;DALTON SILVANO DO AMARAL;DEMOCRATAS
2008;POLICIAMENTO OSTENSIVO PARA COIBIR AÇÕES CRIMINOSAS QUE TÊM OCORRIDO COM FREQUÊNCIA NO BAIRRO.;;VILA MONUMENTO;DALTON SILVANO DO AMARAL;DEMOCRATAS
2008;IMPLANTAÇÃO DE SEMÁFORO OU ROTATÓRIA;CRUZAMENTO DA RUA PAULA NEY COM RUA BATISTA CEPELO;VILA MARIANA;DALTON SILVANO DO AMARAL;DEMOCRATAS
2008;PAVIMENTAÇÃO;RUA CATANUMI;INTERLAGOS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA CLAUDIO DANIEL RODRIGUES;INTERLAGOS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA PARANAPOLIS;INTERLAGOS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA LUIS CAETANO;INTERLAGOS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;PÇA VICENZO GALILEI;INTERLAGOS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA LEONARDO DE FASSIO;JD SUZANO;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA OKINAWA;JD ELIANA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;TRAV JOSE SORA;JD ELIANA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;TRAV JOSE M SORA;JD CLIPER;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA GEN PACIFICO FURTADO;JD SHANGRILA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA GASTÃO PENALVA;JD HANGRILA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA MADRE ANA JUSTINA;JD SHANGRILA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA FRANCISCA DA VEIGA;JD SHANGRILA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA VALSA CHOROSA;JD ELLUS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA AYMORES;SOCORRO;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA M LUIS ROBERTO BORGES;JD ELLUS;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;PAVIMENTAÇÃO;RUA LANCIANO;JD SUZANA;ANTONIO GOULART DOS REIS;PARTIDO SOCIAL DEMOCRATICO
2008;FECHAMENTO DE QUADRA DE BOCHA;CLUBE DA BOCHA E MALHA BEIRA RIO;PENHA;GILBERTO TANOS NATALINI;PARTIDO VERDE
2008;IMPLANTAÇÃO OU READEQUAÇÃO DE ILUMINAÇÃO PÚBLICA;RUA JOÃO PERESTRELLO;VILANOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO OU BUEIRO;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA D ELOBO;RUA JOÃO PERESTRELLO;VILA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RCAPEAMENTO ASFALTICO EM VIAS PÚBLICAS;AV CORONEL SEZEFREDO FAGUNDES;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECAPEAMENTO ASFALTICO EM VIAS PÚBLICAS.;AV CORONEL SEZEFREDO FAGUNDES;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;PODA DE ÁRVORE;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;AV CORONEL SEZEFREDO FAGUNDES;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;NIVELAMENTO DE CAIXA DE VISITA OU POÇO DE VISITA;RUA CASSUARINAS;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;LIMPEZA DE CÓRREGO;RUA JOÃO PERESTRELLA;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;CAPINAGEM EM GERAL;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECAPEAMENTO ASFALTICO;RUA JOÃO PERESTRELLO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RETIRADA E REMOÇÃO DE LIXO OU ENTULHO;AV MARIO PERNAMBUCO;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO;RUA CASSUARINAS;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA D ELOBO;RUA CASSUARINAS;VILA NOVA MAZZEI;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
