;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último);Latitude;Longitude
3432;IND;;365;1993;AO SR. PREFEITO ASSUNTO:ASFALTO, LOCAL: RUA ALGAROBEIRA E RUA SERRANA FLUMINENSE, JARDIM PERI ALTO.;;PAVIMENTACAO;ALGAROBEIRA, R.SERRANA FLUMINENSE, R.;AR-FO;JARDIM PERI;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO;-23.45549;-46.6689999
3433;IND;;366;1993;AO SR. PREFEITO ASSUNTO: ASFALTO, LOCAL: RUA DA LIGAÇÃO JD. ANTÁRTICA.;;PAVIMENTACAO;LIGACAO, R. DA (JARDIM PERI);AR-FO;JARDIM ANTARTICA;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO;-23.62826;-46.71787
3434;IND;;367;1993;AO SR. PREFEITO ASSUNTO: PAVIMENTAÇÃO, LOCAL: RUA DR. ARAÚJO CASTRO VILA DIONÍSIA.;;PAVIMENTACAO;ARAUJO CASTRO, DR., R.;AR-FO;VILA DIONISIA;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO;-23.46588;-46.66429
3435;IND;;368;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE PRAÇA AJARDINADA, LOCAL: RUA MANOEL PEDRO DE ALMEIDA, ESQUINA DA RUA ADÃO COSTA MENDES JD. PARIS CAMPO LIMPO.;;PRACA;ADAO COSTA MENDES, R.MANUEL PEDRO DE ALMEIDA, R.;AR-CL;JARDIM PARIS;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO;-23.63891;-46.76841
3436;IND;;369;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DE CÓRREGO, LOCAL: CÓRREGO RIO DAS COBRAS, SITUADO NO BAIRRO DE STA TEREZINHA SANTANA, ENTREAS RUAS SANTO EGIDIO E COPACABANA.;;CANALIZACAO DE CORREGO/SANTA TERESINHACORREGO RIO DAS COBRAS;SANTO EGIDIO, R.;AR-ST;;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO;-23.493;-46.63718
3437;IND;;370;1993;AO SR. PREFEITO ASSUNTO: DETERMINAR ESTUDOS VISANDO A DESAPRO PRIAÇÃO DE TERRENOS, OU USO DE TERRENOS OCIOSOS, PARA A INSTALAÇÃO DAS FEIRAS-LIVRES.;;DESAPROPRIACAO/TERRENO BALDIOFEIRA LIVRE;;;;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO;;
3438;IND;;371;1993;AO SR. PREFEITO ASSUNTO:ESTUDOS VISANDO A ENTREGA A FIRMAS PAR TICULARES, DA INCUMBÊNCIA, SOB A FISCALIZAÇÃO DA SECRETÁRIA DO VERDE E DO MEIO AMBIENTE, DO PLANTIO E CONSERVAÇÃO DAS ÁRVORES E DOS JD. DA NOSSA CIDADE.;;AJARDINAMENTO/EMPRESA PRIVADA/FISCALIZACAOARBORIZACAO;SECRETARIO MUNICIPAL DO VERDE E DO MEIO AMBIENTE;;;OSVALDO GIANNOTTI;PARTIDO PROGRESSISTA BRASILEIRO;None;None
3439;IND;;372;1993;AO SR. PREFEITOASSUNTO:REFORMAR E GRAMAR A PRAÇA 14 BIS NO SEN TIDO BAIRRO/CIDADE, LOCAL: AV. 9 DE JULHO, BAIRRO: BIXIGA.;;BELA VISTA/GRAMACONSERVACAO DE LOGRADOURO;QUATORZE BIS, PC.;AR-SE;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.55566;-46.64951
3440;IND;;373;1993;AO SR. PREFEITO ASSUNTO: PODAR O MATO DOS CANTEIROS CENTRAIS DA AV. 9 DE JULHO NA DIREÇÃO DO TUNEL ATÉ A AV. EUROPA, LOCAL: AV 9 DE JULHO, BAIRRO: JARDINS.;;CANTEIRO CENTRALCAPINA;EUROPA, AV.NOVE DE JULHO, AV.;;JARDIM PAULISTA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.56702;-46.65912
3441;IND;;374;1993;AO SR. PREFEITO ASSUNTO: GRADEAR TODA A ESCADA DE STA. RITA DE CÁSSIA, LOCAL: PRAÇA STA. RITA DE CÁSSIA, BAIRRO: MIRANDÓPOLIS.;;CERCA/MIRANDOPOLISESCADARIA;SANTA RITA DE CASSIA, PC.;AR-VM;;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO;-23.52656;-46.60542
