;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
712;IND;;2227;1991;À SRA. PREFEITA ASSUNTO:CESSÃO DE ÁREA, POR 90 ANOS, DE 13.000 LOCALIZADA NO SETOR 78, QUADRA 490, LOCAL: CITY AMERICA, BAIRRO: PARQUE SÃO DOMINGOS, AR/PIRITUBA.;;CESSAO DE AREA/SOCIEDADE AMIGOS DE CITY AMERICAAR PIRITUBA/JARAGUA/CITY AMERICA;;;PARQUE SAO DOMINGOS;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR
717;IND;;2232;1991;À SRA. PREFEITA ASSUNTO: CONSTRUÇÃO DE CRECHE, BAIRRO: JARDIM MÁLIA II.;;CRECHE;;AR-CS;JARDIM MALIA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
718;IND;;2233;1991;À SRA. PREFEITA ASSUNTO: CONSTRUÇÃO DE POSTO DE SAÚDE, BAIRRO: JARDIM MÁLIA II.;;POSTO DE SAUDE;;AR-CS;JARDIM MALIA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
727;IND;;2242;1991;À SRA. PREFEITA ASSUNTO: PAVIMENTAÇÃO, LOCAL: RUA EXISTENTE, BAIRRO: PARQUE DO ENGENHO.;;PAVIMENTACAOLOGRADOURO PUBLICO;;AR-CL;PARQUE DO ENGENHO;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
764;IND;;2279;1991;À SRA. PREFEITA ASSUNTO: ASSUNTO: PROLONGAMENTO DO TRAJETO DAL LINHA CMTC 8537 JD. MORRO GRANDE ATÉ A VILA IARA.;;LINHA DE ONIBUS 8537JARDIM MORRO GRANDE;;AR-FO;VILA IARA;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
765;IND;;2280;1991;À SRA. PREFEITA ASSUNTO: AMPLIAÇÃO DA LINHA DE ÔNIBUS, COM DESTINO JD. PIRITUBA CENTRO.;;ONIBUSLINHA DE ONIBUS;;AR-PR;JARDIM PIRITUBA;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
809;IND;;2324;1991;À SRA. PREFEITA ASSUNTO: REDE DE ÁGUAS E ESGOTOS, NO JD.DA CON QUISTA, CONHECIDO COMO SITIÃO DO CARRÃZINHO, BAIRRO: PARQUE BOA ESPERANÇA FINAL DA RUA FRANCISCO DE MELLO PALHETA JD. VILA CARRÃO, VILA BELA E JD. IGUATEMI.;;JARDIM DA CONQUISTA/REDE DE AGUAREDE DE ESGOTO;;AR-SM;PARQUE BOA ESPERANCA;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
813;IND;;2328;1991;À SRA. PREFEITA ASSUNTO: INVASÃO DE UM CAMPO DE FUTEBOL, ADMI NISTRADO PELO SAPUCAIA F.C. , LOCAL: JD. PAQUETÁ E V. ZATT.;;CAMPO DE FUTEBOL/SAPUCAIA FUTEBOL CLUBE/INVASAOAR PIRITUBA/JARAGUA;;;JARDIM PAQUETA (AR-PJ);JUAREZ SOARES MOREIRA;PARTIDO DOS TRABALHADORES
826;IND;;2341;1991;À SRA. PREFEITA ASSUNTO: CANALIZAÇÃO DE CORREGO, LOCAL: CÓRREGO GUAVIRITUBA, BAIRRO: JD. SANTA ZÉLIA.;;CORREGO GUAVIRUTUBACANALIZACAO DE CORREGO;;AR-CL;JARDIM SANTA ZELIA;ANTONIO CARLOS CARUSO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
837;IND;;2352;1991;À SRA. PREFEITA ASSUNTO: IMPLANTAR REDE DE ENERGIA ELÉTRICA(I LUMINAÇÃO PÚBLICA E RESIDENCIAL) NO JD. DA CONQUISTA, LOCALIZADA ENTRE OS BAIRROS PARQUE BOA ESPERANÇAFINAL DA RUA FRANCISCO DE MELLO PALHETA.;;JARDIM DA CONQUISTA/ENERGIA ELETRICAILUMINACAO PUBLICA;;AR-SM;PARQUE BOA ESPERANCA;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
