;0;1
188; R.HEITOR ALVES DE AMORIM;1
189; R.MARIO NEME;1
190; AV.TOLEDO CASTELANOS;1
191; GOV.;1
192; AV. (JARDIM CASTRO ALVES);1
193; R.VIRGINIA FERNI;1
194; RIOSEIS;1
195; R. (JARDIM CLIPER);1
196; R.MARIO GATTI;1
197; R.JOSE MARIOTO FERREIRA;1
198; VL. (JARDIM MARCELO);1
199; R.GRENOBLE;1
200; AV.PIRES E ALBUQUERQUE;1
201; R.MORAIS MADUREIRA;1
202; R.JAIME GUIMARAES COSTA;1
203; TR.PARANA CITY;1
204; VL. (ARTUR ALVIM);1
205; R.JOAO RIBEIRO PEIXOTO;1
206; TR.SAO SERAFIM;1
207; R.JOSE BONIFACIO FILHO;1
208; R. (JARDIM SANTA BARBARA);1
209; AV. (JARDIM FARIA LIMA);1
210; R.SANTO ADRIANO;1
211; R.PALMEIRA DAS BERMUDAS;1
212; R. (AR-VP);1
213; VIA ELEV.FAVELA;1
214; AV.RIACHO DOS MACHADOS;1
215; PC.SERRA DA BOCAINA;1
216; R.PIRANEMA;1
217; AV.VIRGINIA DE MIRANDA;1
218; PC. (JARDIM SOARES/AR-IQ);1
219; R.RIACHO DOS MACHADOS;1
220; R. (AR-IP);1
221; R.BELISARIO;1
222; PC.IDA KOLB;1
223; PROFA.;1
224; R.RAFAEL FICONDO;1
225; R.ROSEIRA VELHA;1
226; IRMA;1
227; R.CANDIDO GODOI;1
228; R.ROCHEDO DE MINAS;1
229; R.FREITAS DE AZEVEDO;1
230; R.CHA DOS JESUITAS;1
231; PC. DO;1
232; AV.MAPIXI;1
233; R. (JARDIM DAS ROSAS/AR-CS)B;1
234; R. (JARDIM DAS ROSAS/AR-CS);1
235; R.VITOR BASTOS;1
236; R. (VILA ISAURA);1
237; R.ELISABETE BENATO;1
238; R.MARTIM PESCADOR;1
239; AV.CONJUNTO HABITACIONAL SITIO DOS FRANCOS;1
240; AV.GREGORIO MAFRA;1
241; AV.TATUAPE;1
242; R.TOLEDO BARBOSA;1
243; R.HERVAL;1
244; R. (JARDIM RINCAO);1
245; ESTR. DESETE;1
246; R. (AR-CL)JANDAIA;1
247; VL.RIO GRANDE DO SUL;1
248; CDSSA. DE;1
249; R.LAJE DE MURIAE;1
250; R. (JARDIM BANDEIRANTES/AR-SM);1
251; R.RAGUEB CHOHFI;1
252; R.ALVARO RAMOS;1
253; R.JOAO BATISTA CONTI;1
254; VD.GETULINA;1
255; R.PUCCI;1
256; R.SAO GABRIEL;1
257; R.ULISSES CRUZ;1
258; AV.SANTA IFIGENIA;1
259; ALM.;1
260; R.JULIA GRISI;1
261; R.SUGAO SUZUKI;1
262; R. (JARDIM IRAPIRANGA);1
263; R.CARNEIRO LEAO;1
264; R.MARIA DOMITILA;1
265; AV.SAO JORGE;1
266; AL.OSCAR FREIRE;1
267; AV.SANTO AMARO;1
268; AV.SAO GABRIEL;1
269; R.EEPG PROFA. JOANA ABRAHAO;1
270; R.PASSO DA PATRIA;1
271; R.ALMOFADA;1
272; R.MANUEL BACELAR;1
273; R.PASSOS;1
274; R.SORIANO DE ALBUQUERQUE;1
275; AV.SOCIEDADE CACHOEIRA IMPERIO DO SAMBA;1
276; R.CESAR ALFIERI;1
277; AV.SANTA RITA DE ITUETO;1
278; R.NATAL;1
279; R.TAQUARACU DE MINAS;1
280; R.CORALINA;1
281; R.VILANOVA DE SANTA CRUZ;1
282; R.GREGORIO TAGLE;1
283; R.SAO PAULINO;1
284; VL. (JARDIM PERI);1
285; R.ESTEVAO DIAS VERGARA;1
286; R.MAR VERMELHO;1
287; AV.DIEGO ROJAS;1
288; R.CORIOLANO;1
289; R.ITABORAI;1
290; PC.PINTO DUARTE;1
291; R. DASXANDE;1
292; AV.VIRGILIO DO NASCIMENTO;1
293; R.JUAN DE COLONIA;1
294; R.LEOPOLDO RUZICKA;1
295; ROD.FAVELA DA FUNERARIA;1
296; AV.RIO DAS PEDRAS;1
297; AV.AGUIA DE HAIA;1
298; PC.MARIA ESTELA;1
299; R.FRANCESCO MOSTO;1
300; R. (JARDIM DEVECCHI)DOIS;1
301; R. (JARDIM DEVECCHI);1
302; R.COLEGIO;1
303; PATIO DO;1
304; R.VICENTE LEPORACE;1
305; AV.EEPG PROFA. RAQUEL ASSIS BARREIROS;1
306; VL. PART. (JARDIM SANTA TERESINHA/AR-IQ);1
307; AV.TERMINAL DE ONIBUS SANTO AMARO;1
308; CABO;1
309; R.PORTUARIA;1
310; AV.CONJUNTO RESIDENCIAL PRESTES MAIA (AR-IQ);1
311; R. (VILA GUILHERME);1
312; R.JOAO BATISTA DOMINGUES;1
313; R.VICENTE DO REGO MONTEIRO;1
314; R.OURO VERDE DE MINAS;1
315; R.MOREIRA COUTO;1
316; R.ANTONIO AUGUSTO PORTUGAL;1
317; R.MOREIRA TERRA;1
318; R.CONCHITA;1
319; R.LUIS MATEUS;1
320; R.EPAMINONDAS MELO DO AMARAL;1
321; AV.LUIS DE TOLEDO PIZA;1
322; R.CARIOCA;1
323; TR. PART.;1
324; AV.INAJAR DE SOUSA;1
325; R.INACIO DE OLIVEIRA CAMPOS;1
326; TR.CONJUNTO HABITACIONAL VILA NOVA CACHOEIRINHA;1
327; R.OLIVEIRA CESAR;1
328; R.VALDEMAR AUTO SIMAS;1
329; AV.ANTONIO BISPO VIDAL;1
330; R.SILA MATOS;1
331; R.JUDITE;1
332; R.JOAQUIM NABUCO;1
333; R.DOMINGOS ANTONIO DI SANDRO;1
334; R. (CONJUNTO HABITACIONAL JARDIM PAULISTANO);1
335; R.PRANCHAS;1
336; R. (VILA PAULISTA II/AR-IQ)UM;1
337; R. (VILA PAULISTA II/AR-IQ);1
338; VD.VINTE E CINCO DE MARCO;1
339; VD.RANGEL PESTANA;1
340; PQ.FERNANDO COSTA;1
341; AV.MANUEL FERREIRA SIMOES;1
342; AV.PEDRO II;1
343; R.MONJOLO;1
344; R.ORATORIO;1
345; R.BANDEIRA DO ALMADO;1
346; R.LEONEL FERREIRA;1
347; R.COMPANHIA DE ENGENHARIA DE TRAFEGO - CET;1
348; R.CUITEGI;1
349; R. (PIRITUBA)DEZESSEIS;1
